id,first_name,last_name,State,Product,NRx_Month_1,NRx_Month_2,NRx_Month_3,NRx_Month_4,NRx_Month_5,NRx_Month_6,TRx_Month_1,TRx_Month_2,TRx_Month_3,TRx_Month_4,TRx_Month_5,TRx_Month_6,NRx_all,TRx_all
527,Aguste,Lathbury,Pennsylvania,Zap-a-Pain,20,15,2,18,10,15,23,37,117,6,89,160,65,272
528,Shelley,Groomebridge,Colorado,Zap-a-Pain,16,16,5,4,17,9,191,42,103,104,109,4,58,549
529,Vivienne,Dubock,Washington,Zap-a-Pain,3,0,20,9,17,2,14,107,198,118,57,162,49,494
530,Andros,Merchant,Texas,Zap-a-Pain,10,19,11,11,8,4,137,164,45,185,171,163,59,702
531,Jeanna,Haack,California,Zap-a-Pain,15,5,15,14,0,6,149,69,75,197,73,77,49,563
532,Panchito,Jerrome,California,Zap-a-Pain,16,1,8,11,15,19,64,64,196,198,157,115,51,679
533,Cahra,Shippard,Texas,Zap-a-Pain,6,0,13,6,18,10,77,186,134,20,91,145,43,508
534,Tim,Quincey,Texas,Zap-a-Pain,16,12,6,11,11,4,160,174,112,119,14,52,56,579
535,Benni,Clericoates,Texas,Zap-a-Pain,20,11,13,14,7,15,39,111,198,117,177,12,65,642
536,Ericha,O' Faherty,Colorado,Zap-a-Pain,4,11,1,18,19,8,169,174,159,167,200,128,53,869
537,Gillie,Rivlin,Illinois,Zap-a-Pain,18,6,11,15,12,14,63,128,44,193,128,189,62,556
538,Jolynn,Kmiec,Georgia,Zap-a-Pain,11,12,16,6,0,13,20,16,69,18,186,180,45,309
539,Becki,Howford,California,Zap-a-Pain,0,10,8,4,18,8,170,180,28,32,187,104,40,597
540,Kaia,Truse,Massachusetts,Zap-a-Pain,14,11,2,8,10,15,126,169,142,144,145,57,45,726
541,Uri,Burrett,Iowa,Zap-a-Pain,8,1,8,9,13,12,3,179,11,173,190,148,39,556
542,Tamarra,Dahlborg,Florida,Zap-a-Pain,16,9,11,18,18,6,46,2,135,2,9,143,72,194
543,Edin,Monkton,Nebraska,Zap-a-Pain,20,17,10,16,10,17,165,200,167,191,79,159,73,802
544,Conney,Wynn,Texas,Zap-a-Pain,13,18,11,15,16,20,111,50,148,193,30,14,73,532
545,Abey,Torrisi,District of Columbia,Zap-a-Pain,4,18,11,10,1,10,64,9,39,40,53,4,44,205
546,Leah,Brashier,Utah,Zap-a-Pain,10,4,19,1,11,6,40,67,89,162,193,149,45,551
547,Revkah,Mattacks,Colorado,Zap-a-Pain,17,12,14,11,16,7,30,95,185,37,161,39,70,508
548,Stefa,Joron,Arizona,Zap-a-Pain,14,19,19,20,15,13,9,165,105,177,119,34,87,575
549,Yehudit,Vlasov,Colorado,Zap-a-Pain,13,3,13,17,5,6,164,6,91,165,169,0,51,595
550,Sal,Hastings,Illinois,Zap-a-Pain,19,16,19,15,11,11,196,6,195,200,81,17,80,678
551,Andrey,Louis,California,Zap-a-Pain,4,3,1,4,2,17,186,33,49,114,183,177,14,565
552,Tarrah,Cockley,Oklahoma,Zap-a-Pain,12,20,19,16,13,14,48,163,33,157,12,41,80,413
553,Charmane,Knighton,Pennsylvania,Zap-a-Pain,17,7,4,6,18,12,10,86,177,107,19,106,52,399
554,Sula,Whatsize,Hawaii,Zap-a-Pain,5,8,9,18,16,6,49,24,115,196,180,135,56,564
555,Laurie,McRory,Arkansas,Zap-a-Pain,20,13,9,19,0,6,49,192,68,9,181,200,61,499
556,Mattheus,Ratchford,Texas,Zap-a-Pain,15,7,9,19,11,8,138,21,100,146,2,190,61,407
557,Felice,Stobart,California,Zap-a-Pain,20,0,5,2,7,17,129,53,55,179,124,21,34,540
558,Dedie,Fike,Connecticut,Zap-a-Pain,15,10,19,0,19,1,192,97,187,36,114,59,63,626
559,Mercedes,Castledine,Virginia,Zap-a-Pain,5,18,11,6,4,16,27,105,175,36,73,76,44,416
560,Garrek,Agastina,Arizona,Zap-a-Pain,7,2,19,0,14,9,128,171,78,129,65,149,42,571
561,Gabi,De la Eglise,Colorado,Zap-a-Pain,10,8,11,5,12,5,69,124,181,77,108,180,46,559
562,Flossi,Bakewell,Pennsylvania,Zap-a-Pain,8,20,5,7,1,4,165,51,142,74,156,127,41,588
563,Heath,Lonsbrough,California,Zap-a-Pain,11,18,12,19,6,10,145,104,8,111,58,191,66,426
564,Karil,Kunisch,Massachusetts,Zap-a-Pain,5,6,4,4,10,19,109,59,84,103,155,41,29,510
565,Arron,Rentoll,Nebraska,Zap-a-Pain,11,4,14,7,8,20,10,115,95,65,190,76,44,475
566,Cassie,Breckwell,Mississippi,Zap-a-Pain,19,15,15,12,18,14,22,22,16,39,132,86,79,231
567,Austine,Sybe,California,Zap-a-Pain,1,8,1,8,1,11,78,142,109,88,70,106,19,487
568,Rhetta,Bristoe,Texas,Zap-a-Pain,0,1,13,5,17,7,119,96,73,81,137,112,36,506
569,Issy,Olufsen,New York,Zap-a-Pain,5,7,8,7,5,11,94,174,91,199,157,6,32,715
570,Freida,Elmhirst,Alaska,Zap-a-Pain,0,3,5,10,3,12,42,64,66,47,14,37,21,233
571,Odey,McChesney,Minnesota,Zap-a-Pain,17,6,17,9,3,14,139,188,70,132,191,92,52,720
572,Violette,Drinnan,Oklahoma,Zap-a-Pain,9,7,0,0,5,2,140,196,52,49,175,23,21,612
573,Joline,Gooda,California,Zap-a-Pain,2,16,11,10,15,3,16,198,55,134,51,199,54,454
574,Vanda,Brastead,Ohio,Zap-a-Pain,2,6,13,1,10,20,172,191,173,69,114,151,32,719
575,Hasheem,Cubbino,California,Zap-a-Pain,8,13,16,3,17,0,141,156,124,167,177,39,57,765
576,Kathie,Longshaw,Ohio,Zap-a-Pain,9,15,10,10,3,9,36,107,120,146,80,111,47,489
577,Winnah,Bridal,District of Columbia,Zap-a-Pain,14,4,12,19,18,17,124,31,134,129,159,139,67,577
578,Lona,Ferschke,District of Columbia,Zap-a-Pain,7,1,18,12,5,12,30,25,193,160,153,130,43,561
579,Lyndsie,Doale,Michigan,Zap-a-Pain,5,13,19,20,1,5,16,110,93,12,192,122,58,423
580,Isiahi,Dowd,Tennessee,Zap-a-Pain,6,4,8,0,0,1,125,46,162,175,64,7,18,572
581,Sherm,Selcraig,Connecticut,Zap-a-Pain,0,3,18,0,14,2,187,139,143,138,56,144,35,663
582,Meta,Laviste,Kansas,Zap-a-Pain,9,14,10,11,1,1,12,112,142,12,125,57,45,403
583,Gabriella,Bister,Michigan,Zap-a-Pain,14,20,6,8,13,4,163,185,160,19,64,74,61,591
584,Anthony,Lewerenz,Washington,Zap-a-Pain,16,7,19,15,10,18,21,131,190,56,36,0,67,434
585,Ferrell,Pendrid,Alabama,Zap-a-Pain,2,13,11,11,11,18,107,85,57,15,148,154,48,412
586,Ram,Dri,Missouri,Zap-a-Pain,18,4,20,8,7,7,187,21,175,21,71,9,57,475
587,Alan,Lambshine,Arizona,Zap-a-Pain,6,8,1,12,15,0,143,142,89,133,142,10,42,649
588,Ebony,Goford,Texas,Zap-a-Pain,14,1,6,4,16,16,22,51,122,105,143,0,41,443
589,Duky,Oakley,Oregon,Zap-a-Pain,13,2,9,5,9,13,44,134,116,77,147,192,38,518
590,Patti,Antoniak,Pennsylvania,Zap-a-Pain,7,10,13,14,0,16,42,79,121,199,50,135,44,491
591,Carling,Alloisi,Virginia,Zap-a-Pain,7,16,2,14,17,8,139,136,75,85,22,20,56,457
592,Grantley,Churchouse,Kansas,Zap-a-Pain,15,5,5,0,9,3,142,143,26,69,77,182,34,457
593,Alicia,Pyrah,Georgia,Zap-a-Pain,10,4,17,7,3,12,175,153,159,114,149,193,41,750
594,Mair,Mintoft,Missouri,Zap-a-Pain,13,8,2,8,14,16,90,130,114,41,122,172,45,497
595,Ericka,Swarbrick,Tennessee,Zap-a-Pain,9,6,0,6,17,14,78,198,33,200,145,198,38,654
596,Rem,Wain,District of Columbia,Zap-a-Pain,17,10,0,20,2,1,113,112,180,140,32,48,49,577
597,Stevy,Simionescu,Texas,Zap-a-Pain,7,2,15,2,12,8,96,158,177,46,56,152,38,533
598,Josias,Devenny,California,Zap-a-Pain,8,19,12,4,15,15,113,34,166,129,31,48,58,473
599,Donavon,Raye,Alaska,Zap-a-Pain,2,1,20,14,4,19,36,191,47,62,63,60,41,399
600,Molli,Menpes,Nevada,Zap-a-Pain,15,12,20,17,3,11,116,23,193,198,18,89,67,548
601,Lane,Bampkin,California,Zap-a-Pain,10,5,14,10,20,20,15,112,136,160,53,34,59,476
602,Alisa,Giottini,Arizona,Zap-a-Pain,11,17,2,6,18,13,69,45,116,67,105,171,54,402
603,Gordy,Waggitt,Delaware,Zap-a-Pain,8,16,14,2,9,12,136,96,94,31,83,193,49,440
604,Lombard,Hardi,Connecticut,Zap-a-Pain,0,9,17,12,12,7,164,174,63,128,47,125,50,576
605,Silvia,Peres,Nevada,Zap-a-Pain,2,13,10,0,20,12,178,38,105,92,50,129,45,463
606,Rivy,Paulillo,Oklahoma,Zap-a-Pain,6,6,8,2,0,16,156,2,140,153,149,183,22,600
607,Gusta,Alesin,Indiana,Zap-a-Pain,0,15,15,14,18,2,197,61,109,98,198,140,62,663
608,Darlene,Easun,Texas,Zap-a-Pain,2,12,19,9,15,20,27,199,187,85,153,16,57,651
609,Silvio,Riepel,Tennessee,Zap-a-Pain,11,14,11,4,5,2,32,185,56,107,159,187,45,539
610,Althea,Slobom,Missouri,Zap-a-Pain,16,14,15,20,10,3,59,73,67,82,29,46,75,310
611,Murdock,Polden,Texas,Zap-a-Pain,13,3,0,5,10,2,106,175,11,145,155,155,31,592
612,Granville,Lydford,North Carolina,Zap-a-Pain,15,19,3,17,5,0,63,35,142,154,132,43,59,526
613,Shurwood,Nanuccioi,Florida,Zap-a-Pain,11,14,11,4,18,13,78,128,122,32,2,161,58,362
614,Caz,Bloodworthe,North Carolina,Zap-a-Pain,9,9,19,18,4,0,110,159,182,20,143,166,59,614
615,Hermon,Raynor,Minnesota,Zap-a-Pain,4,7,19,4,4,1,45,6,46,162,139,88,38,398
616,Faydra,Campo,California,Zap-a-Pain,19,3,18,5,6,0,152,163,120,57,64,1,51,556
617,Paolina,Segoe,District of Columbia,Zap-a-Pain,16,9,0,20,4,13,33,47,108,85,107,163,49,380
618,Alisha,Gonsalvez,Ohio,Zap-a-Pain,17,5,9,19,20,1,7,45,53,200,4,171,70,309
619,Brandy,Gervaise,Pennsylvania,Zap-a-Pain,0,6,5,19,14,10,7,171,21,122,81,186,44,402
620,Bil,Perulli,Florida,Zap-a-Pain,11,3,10,6,4,8,166,86,119,191,130,128,34,692
621,Fredra,Ugolotti,Maryland,Zap-a-Pain,5,3,11,5,9,19,111,163,82,28,139,156,33,523
622,Worthington,Geoghegan,Indiana,Zap-a-Pain,18,14,9,10,18,7,59,34,10,163,191,168,69,457
623,Tremain,Solomon,North Carolina,Zap-a-Pain,14,16,1,20,13,20,200,194,13,137,63,138,64,607
624,Say,Calvey,Georgia,Zap-a-Pain,4,15,15,6,4,16,153,90,170,91,157,160,44,661
625,Tiertza,Wolvey,Michigan,Zap-a-Pain,8,10,6,7,4,17,127,0,8,37,97,131,35,269
626,Dewie,Rathjen,California,Zap-a-Pain,15,10,3,4,4,17,50,58,34,152,158,39,36,452
627,Con,Habershon,Missouri,Zap-a-Pain,17,0,2,20,17,20,22,158,176,82,152,90,56,590
628,Ignace,Morby,Georgia,Zap-a-Pain,20,20,17,11,9,17,51,84,32,159,38,174,77,364
629,Ozzie,Gaskal,New York,Zap-a-Pain,14,15,3,19,10,5,140,104,198,132,113,51,61,687
630,Elka,Tupper,Texas,Zap-a-Pain,16,15,6,20,10,15,123,34,41,45,180,191,67,423
631,Aggy,Richley,New York,Zap-a-Pain,13,8,6,1,5,16,74,29,169,164,12,131,33,448
632,Eugenius,Vanyatin,Florida,Zap-a-Pain,11,0,12,11,11,15,135,33,164,22,4,127,45,358
633,Barnie,Averill,South Dakota,Zap-a-Pain,18,19,0,19,4,13,27,141,178,175,5,145,60,526
634,Doreen,Birdall,California,Zap-a-Pain,13,13,16,2,15,14,65,65,74,65,37,108,59,306
635,Raffaello,Kennsley,Arkansas,Zap-a-Pain,7,0,9,1,20,19,38,65,192,176,128,146,37,599
636,Kat,Oxford,Missouri,Zap-a-Pain,13,13,18,16,17,3,37,183,182,183,130,122,77,715
637,Carolan,Greave,Ohio,Zap-a-Pain,14,4,1,0,20,20,54,37,63,149,53,166,39,356
638,Merle,Woolmington,California,Zap-a-Pain,7,16,14,2,14,3,140,200,119,192,17,13,53,668
639,Annmarie,McKinty,California,Zap-a-Pain,9,12,20,19,17,2,56,24,193,48,74,1,77,395
640,Broddy,Robun,District of Columbia,Zap-a-Pain,10,0,6,18,7,0,1,5,100,101,13,4,41,220
641,Hazel,Neesam,Kentucky,Zap-a-Pain,6,16,18,9,10,16,29,98,2,33,130,65,59,292
642,Renelle,Galfour,Texas,Zap-a-Pain,0,15,13,11,11,14,20,169,179,78,188,161,50,634
643,Randolf,Fenemore,Florida,Zap-a-Pain,14,18,5,7,13,11,79,13,177,17,27,98,57,313
644,Neill,Fulks,Texas,Zap-a-Pain,2,6,11,0,7,20,141,26,171,140,82,73,26,560
645,Korella,Whitten,Missouri,Zap-a-Pain,8,3,17,6,8,20,7,178,23,91,196,123,42,495
646,Lorrin,Battlestone,Louisiana,Zap-a-Pain,3,6,6,10,20,16,120,170,111,15,189,27,45,605
647,Gwenny,Viner,Florida,Zap-a-Pain,0,19,15,20,3,15,115,176,200,80,81,178,57,652
648,Ruby,Rasmus,Texas,Zap-a-Pain,2,1,17,4,9,17,27,100,67,193,184,178,33,571
649,Donia,Henworth,Pennsylvania,Zap-a-Pain,9,3,18,14,1,10,56,31,104,69,178,167,45,438
650,Lucita,Bazelle,California,Zap-a-Pain,1,0,12,11,1,1,86,76,7,195,138,101,25,502
651,Nico,Stirman,Florida,Zap-a-Pain,10,14,7,15,0,1,173,136,111,2,166,159,46,588
652,Kirbee,Shadrach,Louisiana,Zap-a-Pain,0,15,2,11,4,15,5,138,158,123,167,139,32,591
653,Fiann,Bockman,Florida,Zap-a-Pain,13,18,1,4,10,14,174,84,104,60,167,198,46,589
654,Kath,Jesteco,California,Zap-a-Pain,0,14,7,17,4,0,130,169,113,157,152,146,42,721
655,Alexandrina,Biesty,Pennsylvania,Zap-a-Pain,19,11,7,5,8,20,3,136,133,199,198,54,50,669
656,Nerita,Petrolli,Missouri,Zap-a-Pain,14,17,8,15,5,1,36,112,142,30,108,72,59,428
657,Spense,Scudamore,Tennessee,Zap-a-Pain,0,6,17,7,13,17,119,16,189,131,197,85,43,652
658,Jeri,Sowood,Massachusetts,Zap-a-Pain,10,5,19,10,7,15,33,58,22,118,152,88,51,383
659,Wiatt,Goodding,New York,Zap-a-Pain,19,13,17,14,16,15,191,142,67,71,134,20,79,605
660,Starla,Baldetti,Nebraska,Zap-a-Pain,8,19,5,7,9,9,158,176,60,182,152,10,48,728
661,Chickie,Livings,Utah,Zap-a-Pain,18,0,7,1,17,14,68,8,141,128,173,160,43,518
662,Vinita,Itzhayek,New York,Zap-a-Pain,19,2,17,13,1,18,150,187,136,84,47,18,52,604
663,Zedekiah,Soulsby,Florida,Zap-a-Pain,17,17,11,6,16,16,100,144,105,26,121,171,67,496
664,Jilli,Macrow,Virginia,Zap-a-Pain,14,5,11,12,11,8,170,174,172,65,169,143,53,750
665,Kristine,Garett,Florida,Zap-a-Pain,1,3,3,4,16,8,10,28,192,158,21,23,27,409
666,Quintina,Bleacher,Nevada,Zap-a-Pain,5,8,3,15,19,8,159,140,17,119,67,44,50,502
667,Wally,Noteyoung,Tennessee,Zap-a-Pain,9,15,14,6,19,16,62,115,65,179,41,135,63,462
668,Andrew,Kepe,California,Zap-a-Pain,3,9,15,18,16,8,38,174,15,4,108,35,61,339
669,Simone,Gronw,Tennessee,Zap-a-Pain,11,18,13,10,20,0,161,130,58,83,39,16,72,471
670,Riannon,Bastick,South Dakota,Zap-a-Pain,10,17,16,20,16,15,169,105,67,107,45,97,79,493
671,Tiertza,Delyth,Michigan,Zap-a-Pain,9,14,14,14,3,6,77,77,25,22,82,39,54,283
672,Sheridan,Blick,Texas,Zap-a-Pain,12,4,12,7,11,2,57,107,45,70,109,161,46,388
673,Ediva,Pudsall,Illinois,Zap-a-Pain,15,1,1,17,3,8,152,160,26,70,31,26,37,439
674,Jacqui,Mayston,Ohio,Zap-a-Pain,9,17,3,0,11,12,111,82,166,152,155,153,40,666
675,Barbabas,Greir,Pennsylvania,Zap-a-Pain,0,4,20,19,8,20,157,0,186,55,74,13,51,472
676,Berk,Lounds,Missouri,Zap-a-Pain,5,18,3,16,0,7,134,150,189,138,132,167,42,743
677,Catlin,McGauhy,California,Zap-a-Pain,16,7,3,20,20,20,19,73,164,102,79,58,66,437
678,Lauren,Spolton,Ohio,Zap-a-Pain,5,5,1,18,7,2,161,10,70,146,46,132,36,433
679,Muhammad,Abbots,California,Zap-a-Pain,5,1,15,12,14,1,96,131,198,64,57,65,47,546
680,Skyler,Crofthwaite,California,Zap-a-Pain,17,15,5,2,11,13,76,38,129,21,103,164,50,367
681,Dun,Spain,Pennsylvania,Zap-a-Pain,12,18,17,0,1,8,176,27,151,134,44,179,48,532
682,Dayna,Tomsu,New York,Zap-a-Pain,10,7,6,18,7,13,11,92,37,164,50,7,48,354
683,Abby,Dinwoodie,California,Zap-a-Pain,14,19,13,6,18,11,141,131,170,168,177,37,70,787
684,Theodore,Reiglar,Delaware,Zap-a-Pain,8,2,14,19,20,3,41,60,146,103,156,144,63,506
685,Jonathan,Eddowes,Missouri,Zap-a-Pain,2,16,8,10,12,14,152,121,21,83,90,77,48,467
686,Billi,Parlott,Kansas,Zap-a-Pain,19,20,15,13,18,7,110,134,112,91,194,40,85,641
687,Loni,Dominici,California,Zap-a-Pain,17,3,14,3,9,18,196,34,17,197,174,62,46,618
688,Gerek,Ladds,Florida,Zap-a-Pain,3,1,17,14,13,7,144,12,28,71,199,23,48,454
689,Melvin,Dumelow,Virginia,Zap-a-Pain,4,18,13,20,20,10,189,83,168,137,189,57,75,766
690,Sabina,Rubinovitsch,New York,Zap-a-Pain,4,1,15,20,12,19,13,66,74,23,82,55,52,258
691,Gamaliel,Jehu,Colorado,Zap-a-Pain,15,12,0,14,10,19,88,99,45,98,29,184,51,359
692,Julianna,Libero,Connecticut,Zap-a-Pain,14,12,9,5,13,6,139,74,178,115,61,27,53,567
693,Rafaela,Warfield,Alabama,Zap-a-Pain,20,1,19,4,5,18,116,168,183,170,72,27,49,709
694,Callean,Rennels,Washington,Zap-a-Pain,12,3,17,16,0,2,78,142,68,65,110,50,48,463
695,Petronille,Walding,Pennsylvania,Zap-a-Pain,18,15,3,6,7,3,3,72,121,164,5,65,49,365
696,Shanon,Le Grand,District of Columbia,Zap-a-Pain,10,4,14,10,19,0,183,136,70,7,177,182,57,573
697,Mehetabel,Dugue,Washington,Zap-a-Pain,10,9,9,17,20,11,193,166,9,43,113,31,65,524
698,Etta,Pfeffer,Florida,Zap-a-Pain,12,8,13,2,11,20,146,81,63,180,9,88,46,479
699,Perl,Lydon,Florida,Zap-a-Pain,13,17,9,17,7,16,115,130,131,70,100,173,63,546
700,Prent,Hulson,California,Nasalclear,17,10,1,19,4,10,81,64,198,133,117,116,51,593
701,Averil,Rixon,Ohio,Nasalclear,11,20,5,2,7,4,116,50,0,187,48,69,45,401
702,Price,Ramsted,Texas,Nasalclear,10,13,0,16,5,5,44,159,79,48,14,178,44,344
703,Talyah,Topley,Illinois,Nasalclear,13,17,1,7,14,14,93,118,61,56,42,94,52,370
704,Camey,Holdforth,Florida,Nasalclear,10,5,17,13,15,14,192,23,109,2,50,198,60,376
705,Robbyn,Dalloway,Indiana,Nasalclear,11,13,10,1,19,0,103,121,146,89,118,30,54,577
706,Yulma,Hawtrey,Ohio,Nasalclear,0,7,12,14,14,19,45,62,38,174,52,197,47,371
707,Kaja,Rosindill,New York,Nasalclear,1,8,15,7,10,6,157,84,47,45,167,131,41,500
708,Milty,Basillon,Texas,Nasalclear,9,17,17,3,0,4,5,70,178,139,194,156,46,586
709,Berton,Otson,California,Nasalclear,3,11,1,1,16,5,163,33,60,170,114,163,32,540
710,Sunny,MacGillespie,Mississippi,Nasalclear,0,19,11,20,3,19,185,159,113,90,141,153,53,688
711,Ramsey,Flatte,West Virginia,Nasalclear,3,15,7,8,13,1,51,114,107,75,189,129,46,536
712,Lorrie,Dutnell,District of Columbia,Nasalclear,0,6,1,0,2,16,159,93,95,139,86,133,9,572
713,Dion,Portinari,Connecticut,Nasalclear,5,19,20,12,5,17,97,148,175,176,193,32,61,789
714,Camala,Yurkin,New York,Nasalclear,17,12,3,9,17,11,139,2,41,91,30,146,58,303
715,Morley,Pickin,Illinois,Nasalclear,13,17,4,14,3,0,124,126,51,7,19,72,51,327
716,Jonas,Shooter,Kansas,Nasalclear,5,5,6,17,16,13,155,153,126,178,15,16,49,627
717,Mort,Rumble,North Carolina,Nasalclear,12,15,13,11,4,15,45,156,6,45,110,91,55,362
718,Pepita,Guyan,Texas,Nasalclear,18,4,9,7,7,8,171,133,185,14,48,47,45,551
719,Markos,Ecclesall,Kentucky,Nasalclear,2,6,15,17,5,14,89,195,123,62,199,97,45,668
720,Frasier,Growden,Texas,Nasalclear,8,20,6,2,15,0,166,190,115,121,40,125,51,632
721,Melvin,Tidder,South Dakota,Nasalclear,8,15,3,10,3,13,141,149,188,194,121,36,39,793
722,Pattin,Eric,Kentucky,Nasalclear,14,2,15,19,2,2,13,176,42,194,196,182,52,621
723,Viola,Whitcher,Florida,Nasalclear,6,10,9,12,19,9,149,52,143,76,123,91,56,543
724,Samaria,Halburton,New York,Nasalclear,15,10,0,0,15,19,50,184,126,142,180,163,40,682
725,Lucia,Posse,Missouri,Nasalclear,18,17,14,15,7,11,35,73,62,131,62,160,71,363
726,Aarika,Du Hamel,Connecticut,Nasalclear,12,2,5,4,18,17,117,181,131,36,43,198,41,508
727,Allen,Barde,California,Nasalclear,13,12,13,0,15,12,133,112,81,138,197,54,53,661
728,Arlina,Shanks,District of Columbia,Nasalclear,18,20,4,17,20,10,73,153,36,149,11,50,79,422
729,Basilio,Goodwyn,California,Nasalclear,19,3,1,17,6,7,180,158,159,54,118,188,46,669
730,Sherill,Flawith,North Carolina,Nasalclear,20,18,16,5,5,20,171,14,52,166,65,46,64,468
731,Dona,Pitrasso,Delaware,Nasalclear,3,10,5,14,2,8,79,53,111,189,23,138,34,455
732,Amelia,Chattoe,Florida,Nasalclear,17,6,17,9,7,10,185,192,28,172,159,7,56,736
733,Adah,Monckton,Louisiana,Nasalclear,14,7,0,9,4,2,31,178,113,96,137,87,34,555
734,Jana,Linklater,Maryland,Nasalclear,8,13,1,2,7,17,189,9,34,179,177,79,31,588
735,Mayne,Saffer,New York,Nasalclear,18,14,18,14,5,20,74,155,33,114,66,103,69,442
736,Wallas,Parnall,Texas,Nasalclear,17,14,14,5,12,11,141,160,165,66,106,67,62,638
737,Merwin,Brisco,Florida,Nasalclear,4,1,20,9,14,9,8,155,30,106,68,195,48,367
738,Neddie,Venmore,Colorado,Nasalclear,8,16,19,9,8,1,150,195,95,180,195,112,60,815
739,Ulric,Tayler,Oklahoma,Nasalclear,6,11,0,13,7,20,15,190,2,158,31,200,37,396
740,Carrie,Yukhnov,Connecticut,Nasalclear,14,0,5,7,11,4,88,2,34,39,46,140,37,209
741,Benjy,MacAndreis,Texas,Nasalclear,14,19,15,9,14,20,80,22,185,155,159,115,71,601
742,Gracie,Knappen,Iowa,Nasalclear,8,13,17,15,14,4,65,69,90,31,37,83,67,292
743,Liliane,Tweddell,Connecticut,Nasalclear,18,4,16,10,4,16,159,187,9,88,172,1,52,615
744,Vita,Stuckley,Nevada,Nasalclear,14,16,17,12,6,18,111,40,181,12,152,199,65,496
745,Culver,Loggie,Pennsylvania,Nasalclear,12,10,8,11,20,17,199,15,54,33,10,117,61,311
746,Upton,Ballsdon,Texas,Nasalclear,11,18,8,10,0,4,25,175,152,165,13,121,47,530
747,Jessalin,Yewen,Arkansas,Nasalclear,12,14,6,8,7,5,167,121,183,127,36,22,47,634
748,Bettina,Wittleton,Arizona,Nasalclear,19,14,13,12,19,10,106,169,24,150,21,30,77,470
749,Pablo,Sambells,California,Nasalclear,4,2,19,16,14,10,198,101,133,39,78,100,55,549
750,Marlow,Wyson,District of Columbia,Nasalclear,16,6,0,1,20,2,79,146,55,87,104,97,43,471
751,Griffy,Plomer,Pennsylvania,Nasalclear,10,5,5,19,9,0,87,155,145,199,52,14,48,638
752,Wandis,Bulcroft,South Dakota,Nasalclear,20,5,14,17,8,8,177,3,154,187,48,89,64,569
753,Kirby,Sachno,Kansas,Nasalclear,5,6,9,2,8,7,79,184,64,127,73,55,30,527
754,Davidson,Galbreth,North Carolina,Nasalclear,18,0,5,10,4,19,190,160,156,165,187,27,37,858
755,Magdalen,Delea,Kansas,Nasalclear,5,6,2,20,16,2,164,48,85,178,113,84,49,588
756,Towney,Elfitt,New York,Nasalclear,19,5,12,18,4,20,180,141,8,51,191,148,58,571
757,Anatole,Bennoe,Virginia,Nasalclear,9,0,10,4,11,18,199,133,47,120,61,176,34,560
758,Karim,Thoresby,New Jersey,Nasalclear,20,6,13,1,7,15,15,78,149,0,92,139,47,334
759,Elna,Jina,Kansas,Nasalclear,4,15,7,17,18,7,142,167,105,4,150,132,61,568
760,Devina,Mollon,Connecticut,Nasalclear,3,14,11,18,16,2,58,184,11,119,90,49,62,462
761,Anetta,Lindman,Mississippi,Nasalclear,10,4,2,17,1,16,11,192,105,133,28,25,34,469
762,Barnabas,Crawshay,New York,Nasalclear,14,6,4,2,2,9,81,66,12,196,32,166,28,387
763,Abbi,Haldin,Alabama,Nasalclear,13,19,15,9,0,10,187,121,85,160,64,148,56,617
764,Bobette,Lowres,Virginia,Nasalclear,6,0,12,20,10,2,1,112,87,31,124,118,48,355
765,Shaine,Vasic,New York,Nasalclear,20,14,19,17,9,3,189,170,55,80,140,75,79,634
766,Charline,Boldecke,Florida,Nasalclear,8,14,17,20,14,0,15,66,43,126,60,104,73,310
767,Andreana,Hebbron,California,Nasalclear,10,11,17,2,12,8,103,79,168,18,131,46,52,499
768,Brade,Coad,Texas,Nasalclear,3,16,10,19,6,0,61,192,167,67,60,44,54,547
769,Noach,Durnan,Ohio,Nasalclear,11,9,13,6,6,20,29,5,36,161,132,19,45,363
770,Carol,Hanratty,Colorado,Nasalclear,13,5,1,0,12,16,131,158,156,62,64,116,31,571
771,Haroun,Tchir,District of Columbia,Nasalclear,12,15,7,12,4,0,84,158,179,106,138,55,50,665
772,Meir,Hailston,Florida,Nasalclear,12,18,0,15,14,10,14,18,171,118,169,145,59,490
773,Sherye,Chisnell,Texas,Nasalclear,4,20,13,15,1,4,200,175,54,173,109,74,53,711
774,Herby,Kempstone,Nevada,Nasalclear,1,4,13,16,19,1,50,86,149,4,161,2,53,450
775,Roseanna,Snel,Virginia,Nasalclear,6,1,9,7,1,0,140,97,83,73,64,51,24,457
776,Shermy,Tarbath,North Carolina,Nasalclear,18,15,10,4,19,11,157,37,105,120,146,23,66,565
777,Antony,Snoddy,Virginia,Nasalclear,12,16,13,2,17,14,47,27,54,95,115,146,60,338
778,Forester,Rubes,Florida,Nasalclear,4,12,4,6,20,19,83,173,53,152,56,37,46,517
779,Laura,Hunnicutt,Florida,Nasalclear,5,6,10,1,7,11,181,0,4,185,143,143,29,513
780,Feliks,Basden,Michigan,Nasalclear,11,4,13,10,17,18,188,1,139,134,107,174,55,569
781,Malvin,Baudinelli,Massachusetts,Nasalclear,4,18,3,6,1,2,192,55,179,107,131,185,32,664
782,Katrinka,Baine,North Carolina,Nasalclear,5,14,11,10,19,2,23,81,43,116,167,128,59,430
